name,place_id,address,latitude,longitude,rating,user_ratings_total,price_level,types,business_status,phone_number,website,opening_hours
WHSmith,ChIJ9fRXOlyO2EcRBkQrOXjc5Po,"New, Main Terminal, Bassingbourn Road BAA, Stansted",51.8900813,0.2617798,2.2,131,2,"convenience_store, food, book_store, store, point_of_interest, establishment",OPERATIONAL,,,
Kwik Fit - Bishops Stortford,ChIJKXjYYzmF2EcRmcIE_FcUSaA,"95 South Street, Bishop's Stortford",51.8663378,0.1611177,4.4,462,,"car_repair, store, point_of_interest, establishment",OPERATIONAL,,,
Saint Mary's Church of England Foundation Primary School,ChIJNdyfanuP2EcR8BHPEnzNl80,"21 Saint John's Road, Stansted",51.90388230000001,0.1970261,,,,"primary_school, school, point_of_interest, establishment",OPERATIONAL,,,
Mutts In Distress,ChIJ80Y4v6-a2EcRNGqdpngYHrs,"Normandale Boarding Kennels & Cattery, New Barn Lane, Little Hallingbury, Bishop's Stortford",51.8442589,0.1816103,4.5,127,,"point_of_interest, establishment",OPERATIONAL,,,
Harlow Council,ChIJ9YzFZlWZ2EcRHzQDWMMS35s,"Civic Centre, The Water Gardens, College Square, Harlow",51.7674926,0.09396449999999998,2.3,91,,"point_of_interest, establishment",OPERATIONAL,,,
White House Stansted,ChIJ10GbkhGO2EcRKy7IkbbNoU4,"on corner of, Smiths Green, Dunmow Road, Takeley, Bishop's Stortford",51.8673222,0.2723069,4.4,87,,"lodging, point_of_interest, establishment",OPERATIONAL,,,
Pace Health Club at Stansted,ChIJe-ZIVGCO2EcR1OUAiS_TFDY,"Radisson Blu Hotel, London Stansted Airport, Waltam close, Stansted Airport, Gorefield Road, Stansted",51.89200399999999,0.264691,3.7,50,,"gym, spa, health, point_of_interest, establishment",OPERATIONAL,,,
Hertford Regional College (Ware),ChIJDfcXBgkndkgRjNLR3PP3uwQ,"London Road, Ware",51.8075167,-0.0301813,4.2,24,,"university, point_of_interest, establishment",OPERATIONAL,,,
Holy Cross Primary School,ChIJkSjnfmiZ2EcRAOLP1S0xlaI,"231 Spencers Croft, Harlow",51.75691509999999,0.1212768,,,,"primary_school, school, point_of_interest, establishment",OPERATIONAL,,,
"All Saints Church, High Laver, Ongar",ChIJoQoDwUeX2EcRkP4UI6gBxkc,Ongar,51.7559216,0.2117007,4.4,5,,"church, place_of_worship, point_of_interest, establishment",OPERATIONAL,,,
