name,place_id,address,latitude,longitude,rating,user_ratings_total,price_level,types,business_status,phone_number,website,opening_hours
Ruby's Indian Takeaway Bishop’s Stortford,ChIJwcC8_zuF2EcRXgc-U9iAcgM,"5 Newtown Rd, Bishop's Stortford CM23 3SA, UK",51.8679133,0.1604605,3.8,118,2,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 912929,https://www.rubys.org.uk/,
Caribbean mixup Ltd,ChIJj5W25kaF2EcR_fNdm5gBr5A,"8 Station Rd, Bishop's Stortford CM23 3BL, UK",51.8678089,0.1615785,4.7,19,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 801285,http://www.caribbeanmixup.com/,
Wich & Crust,ChIJnz1mHH6F2EcRu-GkyCRnxTA,"Bishops Stortford Railway, Station, Station Rd, Bishop's Stortford CM23 3BL, UK",51.86652809999999,0.1649733,4.7,52,,"cafe, meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,,https://deliveroo.co.uk/menu/london/bishops-stortford/wich-and-crust,
Mint Leaf,ChIJ-eN7QTiF2EcRlPX6gPGjOn8,"Millers One, Southmill Rd, Bishop's, Stortford CM23 3DH, UK",51.8643684,0.1632606,4.2,122,2,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 655660,https://mintleafonline.com/,
Pizza Edge,ChIJqTpRODiF2EcRy6BuX3cjf5c,"3 Southmill Rd, Bishop's Stortford CM23 3DH, UK",51.8644188,0.163737,5,1,,"restaurant, meal_takeaway, food, point_of_interest, establishment",CLOSED_TEMPORARILY,01279 755665,,
Pisces Oceanic Street Food,ChIJvcf-GPOF2EcRHdbnxcTQjxI,"Sheppards Hut, Millars One, 3 Southmill Rd, Bishop's Stortford CM23 3DH, UK",51.8642905,0.1635786,5,1,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,07930 387794,,
Fish Inn Kebab,ChIJRw0mHDCF2EcRzv_zMQe5fk0,"51 Elizabeth Rd, Bishop's Stortford CM23 3RL, UK",51.8619017,0.1549402,4.1,100,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 503088,https://www.fishinnkebab.com/,
Lee Garden,ChIJ_w3PGDCF2EcRn4yVfUyWZOs,"45 Elizabeth Rd, Havers Ln, Bishop's Stortford CM23 3RL, UK",51.861794,0.1549664,4,62,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 652724,http://www.leegardenbs.co.uk/,
YO! Bishop's Stortford Tesco Kiosk,ChIJYa3bEimF2EcR-3Pm9M0aho8,"Bishops Park Centre, Lancaster Way, Bishop's Stortford CM23 4DD, UK",51.8750693,0.1357396,4,4,2,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,0345 266 6631,https://yosushi.com/restaurants/bishops-stortford-tesco-kiosk,
ELL tacos and churros,ChIJVR6b6TmF2EcRG5JO0Ugj1Sc,"2B Rhodes Ave, Bishop's Stortford CM23 3JL, UK",51.8619348,0.1628515,4.6,157,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 504898,https://ellchurros.co.uk/,
The Fish Yard,ChIJp1uja2mF2EcR22KhtXtqKuM,"6 Snowley Parade, Bishop's Stortford CM23 5EP, UK",51.8771065,0.1739205,4.3,256,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 508686,,
Dawn's Gardens,ChIJoRkWgqCF2EcRq9OqdLHX8zk,"136 London Rd, Bishop's Stortford CM23 3LQ, UK",51.859444,0.1641499,3.9,60,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 654336,https://dawnsgardens.co.uk/,
Flames Grill - Bishop’s Stortford,ChIJu0zKlSmF2EcR45Nz0f2OJf8,"4, Thorley Neighbourhood Centre, Bishop's Stortford CM23 4EG, UK",51.8582929,0.144761,3.4,136,,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 654666,https://flamesgrillbishopsstortford.com/,
